username, created_at, lng, lat, text
CrownNotNice, Wed Apr 22 14:37:07 +0000 2020, -76.704632, 39.154153, @NaeFineAzz Why would my girl wear this out the house is the question. The ball isn’t in my court it’s in her’s she… https://t.co/AkWm5BY6pF 
evren__7, Wed Apr 22 14:37:07 +0000 2020, -121.816799, 37.382488, @_SweetSarahDee Business's plural 😣😖😢🤮 
iam_jayredd_, Wed Apr 22 14:37:07 +0000 2020, -95.446486, 29.838495, i’m back... what i miss? 
VegOutHsv, Wed Apr 22 14:37:07 +0000 2020, -86.611411, 34.706027, I also would like to ask something of you. Back when I started Veg Out in 2014, I was pretty much the only one prov… https://t.co/d2h6rZHyOL 
crsteffel, Wed Apr 22 14:37:07 +0000 2020, -93.105649, 44.941516, Watch this today☑️ 
DMBolton2, Wed Apr 22 14:37:07 +0000 2020, -95.446486, 29.838495, @tmpcorfuttom @StormyDaniels You sound mad that she has one and you dont 
_CryptoCurator, Wed Apr 22 14:37:07 +0000 2020, -77.349057, 38.955801, @TheCryptoDog At this point I'm not sure we can accurately asset that. We've never been here before. ;) 
mnswede, Wed Apr 22 14:37:07 +0000 2020, -93.205056, 45.165333, @AidenWolfe Awww -Aiden. You were uplifting today! 
Tee_ThaGreat, Wed Apr 22 14:37:07 +0000 2020, -88.022231, 43.006113, Every day struggle. 
mikeditommaso2, Wed Apr 22 14:37:07 +0000 2020, -71.436670, 41.698940, @AluraJenson Gorgeous I love you can I meet you and marry you beautiful 
VegOutHsv, Wed Apr 22 14:37:08 +0000 2020, -86.611411, 34.706027, My goal remains the same: making going vegan &amp; eating plant-based easier. So I'd like to ask how I can best help YO… https://t.co/vkWMxbwdoc 
nebbywithab, Wed Apr 22 14:37:08 +0000 2020, -90.158017, 32.230987, @dumb_librarian This post hit home so hard it gave me whiplash. 
LeonAbdullah2, Wed Apr 22 14:37:08 +0000 2020, -118.244500, 34.056400, Remembering Prince 💜💜💜💜 @ Los Angeles, California https://t.co/thqN1i3GsJ 
VeroIvelisse, Wed Apr 22 14:37:08 +0000 2020, -87.416403, 36.662201, OK... i need to be focused on my work today so, PLEASE.... Anahí memes: stay the fck away of ma' head! 🙏🏼🙏🏼🙆🏽‍♀️🙆🏽‍♀️🙆🏽‍♀️😫🤣🤣🤣 
RGVSylvan, Wed Apr 22 14:37:08 +0000 2020, -98.307400, 26.315171, Did you know: Today marks 50 years we celebrate Mother Earth. ❤Quiz: What year did we begin celebrating our beau… https://t.co/H7wORE3ZOf 
RunByTheGun, Wed Apr 22 14:37:08 +0000 2020, -84.433106, 33.767195, I always want to know what these two #bostonterrier are thinking. But no more so than at this precise moment. Love… https://t.co/2lzPHNgzGR 
Redd29Yung, Wed Apr 22 14:37:08 +0000 2020, -77.493170, 37.529883, @mike51374650 😋😋😋 
EMAW_Kuhlman, Wed Apr 22 14:37:08 +0000 2020, -94.790198, 39.008432, You can’t change my mind that this is the single greatest run on football history. 
herk73, Wed Apr 22 14:37:08 +0000 2020, -78.827066, 42.787388, @jarrod_merkel Stop looking the mirror, you're drunk. 
WandringRebel, Wed Apr 22 14:37:09 +0000 2020, -77.418002, 39.432037, Love these Retro shirts on @Bonfire. Great way to support a local business in  @DwntwnFrederick https://t.co/XXiS2yuq7f 
fuknreally, Wed Apr 22 14:37:09 +0000 2020, -122.423118, 37.658799, @XMISHACROSSX I will try to roll w u if i can make it passed payment hurdle is retarted 
whatthechuck99, Wed Apr 22 14:37:09 +0000 2020, -88.407279, 44.213033, I'm gonna come out with an even better dad bod than I went into it with 😎 
tmj_MD_ITPM, Wed Apr 22 14:37:09 +0000 2020, -77.152758, 39.083997, Stop staring at the clock every day. It's time for a new career. Follow us to view jobs with titles like "Procureme… https://t.co/vFxXz47xQ2 
ataussig, Wed Apr 22 14:37:09 +0000 2020, -122.435979, 37.770657, .@wfithian is one of the smartest, and most thorough, people I know. If he says there’s a math error, someone needs… https://t.co/E7EwRE05RR 
makalegraham, Wed Apr 22 14:37:09 +0000 2020, -76.620482, 39.284713, @bionegetone @qweenselene Wow both Talented and Gifted. Lovely. I want one. ❤️ 
Billionare_Boy1, Wed Apr 22 14:37:09 +0000 2020, -84.532133, 33.948124, I hope my grandma is having a good day ❤️😁 
omfgjeffgoldmen, Wed Apr 22 14:37:09 +0000 2020, -89.266508, 39.739300, New phone on the way 😍😍 
AshleyVeatch19, Wed Apr 22 14:37:09 +0000 2020, -81.024144, 24.732762, @MorganWallen made me fall in love already...now he makes me wanna get drunk with my husband...I am both of those p… https://t.co/u8eQ68ksJB 
JoelandDesree, Wed Apr 22 14:37:09 +0000 2020, -119.827182, 39.512436, @localcelebrity @Dimitri246 @Relentlessbored The book really goes off about how insane gramps was 
Eramos503, Wed Apr 22 14:37:09 +0000 2020, -73.831187, 40.670879, Wow that's insane. 
Going_HAN, Wed Apr 22 14:37:09 +0000 2020, -74.074849, 40.078525, Bill Ritter is a Legend in NY/NJ and for most of us on this website he’s been a constant in our households everyday… https://t.co/lG91mTYX7i 
dilletaunt, Wed Apr 22 14:37:09 +0000 2020, -122.133816, 47.570353, Yo at least we can bet on who dies first right? 
NinoBeamen, Wed Apr 22 14:37:09 +0000 2020, -98.540651, 29.417501, They don’t make em like this no mo ❗️ 
ShopHeights19th, Wed Apr 22 14:37:09 +0000 2020, -95.369400, 29.760200, Happy Earth Day! 🌎 50 years of consciousness about our planet! Honor #EarthDayAtHome with ideas from @travelleisure… https://t.co/0A0tMbObl5 
Mr_UnderDevelop, Wed Apr 22 14:37:09 +0000 2020, -80.846785, 35.209059, @briannadeShelle 
Elsa_Torres, Wed Apr 22 14:37:09 +0000 2020, -97.715583, 26.196365, A mi amá la tengo como Padme y a mi apá como Anakin 
